Title,First_author,Year_of_publication,Disease_studied,Disease_plot,Mosquito_species,Country,Region,WHO_region,Model_type,Spatial_model,Spatial_model_class,Spatial_method,Spatial_scale,Spatial_data,Spatial_data_standardised,Mixed_data,Connectivity_assumption,Connectivity_assumption_standardised,Mixed_connectivity_assumption,Assumption_plot
Spatial analysis and mapping of malaria risk in Malawi using point-referenced prevalence of infection data,"Kazembe, L. N.",2006,Malaria,Malaria,Anopheles,Malawi,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatial distribution of malaria problem in three regions of Ethiopia,"Ayele, D. G. ",2013,Malaria,Malaria,Anopheles,Ethiopia,"Amhara, Oromiya and SNNP regions",AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatial prediction of Plasmodium falciparum prevalence in Somalia,"Noor, A. M. ",2008,Malaria (P. falciparum),Malaria,Anopheles,Somalia,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatio-temporal analysis of Plasmodium falciparum prevalence to understand the past and chart the future of malaria control in Kenya,"Macharia, P. M. ",2018,Malaria (P. falciparum),Malaria,Anopheles,Kenya,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatio-temporal mapping of Madagascar's Malaria Indicator Survey results to assess Plasmodium falciparum endemicity trends between 2011 and 2016,"Kang, S. Y. ",2018,Malaria (P. falciparum),Malaria,Anopheles,Madagascar,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatio-temporal modelling of weekly malaria incidence in children under 5 for early epidemic detection in Mozambique,"Colborn, K. L.",2018,Malaria,Malaria,Anopheles,Mozambique,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
The contribution of malaria control interventions on spatio-temporal changes of parasitaemia risk in Uganda during 2009-2014,"Ssempiira, J. ",2017,Malaria,Malaria,Anopheles,Uganda,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
The receptive versus current risks of Plasmodium falciparum transmission in Northern Namibia: implications for elimination,"Noor, A. M. ",2013,Malaria (P. falciparum),Malaria,Anopheles,Namibia,Northern,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Urban farming and malaria risk factors in a medium-sized town in Cote d'Ivoire,"Matthys, B. ",2006,Malaria (P. falciparum),Malaria,Anopheles,Cote d'Ivoire,"Man, west",AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Use of generalized linear mixed models in the spatial analysis of small-area malaria incidence rates in Kwazulu Natal, South Africa","Kleinschmidt, I. ",2001,Malaria,Malaria,Anopheles,South Africa,KwaZulu Natal,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Using non-exceedance probabilities of policy-relevant malaria prevalence thresholds to identify areas of low transmission in Somalia,"Giorgi, E. ",2018,Malaria (P. falciparum),Malaria,Anopheles,Somalia,,AFRO,Statistical,GAMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Using structured additive regression models to estimate risk factors of malaria: Analysis of 2010 Malawi malaria indicator survey data,"Chirombo, J. ",2014,Malaria,Malaria,Anopheles,Malawi,,AFRO,Statistical,GAMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
A spatiotemporal dengue fever early warning model accounting for nonlinear associations with hydrological factors: a Bayesian maximum entropy approach,"Yu, H. L. ",2016,Dengue,Dengue,Aedes,Taiwan,Southern,WPRO,Statistical,DLNM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Human movement,Human movement,,Human movement
Human mobility patterns and malaria importation on Bioko Island,"Guerra, C. A. ",2019,Malaria (P. falciparum),Malaria,Anopheles,Equatorial Guinea,Bioko Island,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Human movement,Human movement,,Human movement
Local human movement patterns and land use impact exposure to zoonotic malaria in Malaysian borneo,"Fornace, K. M. ",2019,Malaria (P. knowlesi),Malaria,Anopheles,Malaysia,Northern Sabah,WPRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Human movement,Human movement,,Human movement
"Impact of community-based larviciding on the prevalence of malaria infection in Dar es Salaam, Tanzania","Maheu-Giroux, M. ",2013,Malaria,Malaria,Anopheles,Tanzania,Dar es Salaam,AFRO,Statistical,GAMM,Mixed effect,Random effect,Individual,Distance,Distance,,"Vector movement, shared characteristics",Mixed,"Vector movement, shared characteristics",Mixed
Mapping malaria risk among children in Cote d'Ivoire using Bayesian geo-statistical models,"Raso, G. ",2012,Malaria,Malaria,Anopheles,Cote d'Ivoire,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Decays as distance increases due to shared characteristics,Mixed,Shared characteristics and distance,Distance-based
Non-stationary partition modeling of geostatistical data for malaria risk mapping,"Gosoniu, L. ",2011,Malaria (P. falciparum),Malaria,Anopheles,Mali,,AFRO,Statistical,GAMM,Mixed effect,Random effect,Patch,Distance,Distance,,Regions sharing characteristics are connected based on distance between them,Mixed,Shared characteristics and distance,Distance-based
Rapid case-based mapping of seasonal malaria transmission risk for strategic elimination planning in Swaziland,"Cohen, J.M. ",2013,Malaria,Malaria,Anopheles,Swaziland,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Human and mosquito movement and distance,Mixed,"Human and vector movement, distance",Mixed
Large-scale drivers of malaria and priority areas for prevention and control in the Brazilian Amazon region using a novel multi-pathogen geospatial model,"Valle, D. ",2014,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Brazil,Amazon,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Adjacent districts are connected,Neighbours connected,,Distance-based
Bayesian modelling of geostatistical malaria risk data,"Gosoniu, L. ",2006,Malaria,Malaria,Anopheles,Mali,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Estimating the Burden of Malaria in Senegal: Bayesian Zero-Inflated Binomial Geostatistical Modeling of the MIS 2008 Data,Giardina F,2012,Malaria,Malaria,Anopheles,Senegal,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Extending multilevel spatial models to include spatially varying coefficients,"Janko, M. ",2019,Malaria,Malaria,Anopheles,DRC,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Geographical patterns and predictors of malaria risk in Zambia: Bayesian geostatistical modelling of the 2006 Zambia national malaria indicator survey (ZMIS),"Riedel, N. ",2010,Malaria,Malaria,Anopheles,Zambia,,AFRO,Statistical,GAMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Mapping malaria risk in West Africa using a Bayesian nonparametric non-stationary model,"Gosoniu, L. ",2009,Malaria,Malaria,Anopheles,West Africa,,AFRO,Statistical,GAMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
"Spatial modeling of malaria incidence rates in Sistan and Baluchistan province, Islamic Republic of Iran","Salehi, M. ",2008,Malaria,Malaria,Anopheles,Iran,Sistan and Baluchistan province,EMRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Spatial risk profiling of Plasmodium falciparum parasitaemia in a high endemicity area in Cote d'Ivoire,"Raso, G. ",2009,Malaria (P. falciparum),Malaria,Anopheles,Cote d'Ivoire,,AFRO,Statistical,GLMM,Mixed effect,Random effect,Cluster,Distance,Distance,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Analysis of spatial data with a nested correlation structure,"Adegboye, O. A. ",2017,Malaria (P. vivax),Malaria,Anopheles,Afghanistan,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Distance and direction,Distance and direction,,Depends on distance and direction,Distance,,Distance-based
A spatial-temporal study of dengue in Peninsular Malaysia for the year 2017 in two different space-time model,"Abd Naeeim, N. S. ",2019,Dengue,Dengue,Aedes,Malaysia,,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency and distance,Mixed,"Adjacency, distance",Decays as distance increases,Distance,,Distance-based
Dengue importation into Europe: A network connectivity-based approach,"Salami, D. ",2020,Dengue,Dengue,Aedes,Europe,,EURO,Statistical,GLMM,Mixed effect,Covariate,Country,Data and distance,Mixed,Data and distance,Human movement,Human movement,,Human movement
Geographically weighted regression-based determinants of malaria incidences in northern China,"Ge, Y ",2016,Malaria,Malaria,Anopheles,China,"Northern (Henan, Anhui)",WPRO,Statistical,GLMM and GWR,Mixed effect,Random effect and Local information and weighting function,District,Adjacency and distance,Mixed,Adjacency and distance,"Adjacent districts are connected, nearby connected",Mixed,"Neighbours connected, distance",Distance-based
Geostatistical mapping of the seasonal spread of under-reported dengue cases in Bangladesh,"Sharmin, S. ",2018,Dengue,Dengue,Aedes,Bangladesh,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Distance and covariate,Mixed,Distance and border,Regions sharing characteristics are connected and human movement,Mixed,Shared characteristics and human movement,Mixed
Rise in malaria incidence rates in South Africa: A small-area spatial analysis of variation in time trends,"Kleinschmidt, I. ",2002,Malaria,Malaria,Anopheles,South Africa,northern KwaZulu Nata,AFRO,Statistical,GLMM,Mixed effect,Random effect and covariate,District,Adjacency and distance,Mixed,Adjacency and distance,Adjacent districts are connected and vector movement,Mixed,"Vector movement, neighbours connected",Mixed
Spatial modelling and risk factors of malaria incidence in northern Malawi,"Kazembe, L. N.",2007,Malaria,Malaria,Anopheles,Malawi,Northern,AFRO,Statistical,"GLMM, GLM and GAM",Mixed effect,"Covariate, smoothed function and random effect ",District,Coordinates and adjacency,Mixed,Coordinates and adjacency,"All regions are connected, more connected when closer, Adjacent districts are connected",Mixed,Distance and neighbours connected,Distance-based
Use of prospective hospital surveillance data to define spatiotemporal heterogeneity of malaria risk in coastal Kenya,"Bisanzio, D. ",2015,Malaria,Malaria,Anopheles,Kenya,Kwale County,AFRO,Statistical,GAMM,Mixed effect,Random effect,District,Distance and adjacency,Mixed,Distance and adjacency,Decays as distance increases and adjacent districts are connected,Mixed,Distance and neighbours connected,Distance-based
"A combination of incidence data and mobility proxies from social media predicts the intra-urban spread of dengue in Yogyakarta, Indonesia","Ramadona, A. L. ",2019,Dengue,Dengue,Aedes,Indonesia,Yogyakarta,SEARO,Statistical,GLMM,Mixed effect,Covariate,District,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Changes in the Transmission Dynamic of Chikungunya Virus in Southeastern Senegal,"Sow, A. ",2020,Chikungunya,Chikungunya,Aedes,Senegal,Kedougou region,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Not given,Not given,,Decays as distance increases,Distance,,Distance-based
Spatially Filtered Multilevel Analysis on Spatial Determinants for Malaria Occurrence in Korea,"Kim, S. ",2019,Malaria (P. vivax),Malaria,Anopheles,South Korea,"Si, Gun, and Gu",WPRO,Statistical,GLMM,Mixed effect,Covariate,District,Not given,Not given,,Regions sharing characteristics are connected,Shared characteristics,,Distance-based
Assessment of Urban Land Surface Temperature and Vertical City Associated with Dengue Incidences," Nakhapakorn, K.",2020,Dengue,Dengue,Aedes,Thailand,Bangkok,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Bayesian spatio-temporal modeling of malaria risk in Rwanda,"Semakula, M.",2020,Malaria,Malaria,Anopheles,Rwanda,,AFRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Climate variability, socio-ecological factors and dengue transmission in tropical Queensland, Australia: A Bayesian spatial analysis","Akter, R.",2020,Dengue,Dengue,Aedes,Australia,Queensland,WPRO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
A comparative analysis of frequentist and Bayesian approaches to estimate dengue disease transmission in Bandung-Indonesia,"Kristiani, F.",2020,Dengue,Dengue,Aedes,Indonesia,Bandung,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Comparing different spatio-temporal modeling methods in dengue fever data analysis in Colombia during 2012–2015,"Ye, J.",2020,Dengue,Dengue,Aedes,Colombia,Magdalena River watershed,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Determining the association between dengue and social inequality factors in north-eastern Brazil: A spatial modelling,"da Conceição Araújo, D.",2020,Dengue,Dengue,Aedes,Brazil,Sergipe,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Effects of natural and socioeconomic factors on dengue transmission in two cities of China from 2006 to 2017,"Chen, Y.",2020,Dengue,Dengue,Aedes,China,Guangzhou and Foshan,WPRO,Statistical and machine learning,Random forest and GLM,Machine learning and fixed effect,Covariate,District,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Evaluating the Effects of Climate and Environmental Factors on Under-5 Children Malaria Spatial Distribution Using Generalized Additive Models (GAMs),"Ugwu, C. L. J.",2020,Malaria,Malaria,Anopheles,Nigeria,,AFRO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,Shared characteristics,Shared characteristics,,Distance-based
Evaluating the impact of a small number of areas on spatial estimation,"Aswi, A.",2020,Dengue,Dengue,Aedes,Indonesia,Makassar,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Exploring local and global regression models to estimate the spatial variability of Zika and Chikungunya cases in Recife, Brazil","Silva dos Anjos, R.",2020,Chikungunya and Zika,Chikungunya and Zika,Aedes,Brazil,Recife,PAHO,Statistical,GWR,Fixed effect,Local regression,District,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
"Geo-epidemiology of malaria at the health area level, dire health district, Mali, 2013-2017","Cissoko, M.",2020,Malaria,Malaria,Anopheles,Mali,Dire,AFRO,Statistical,GAM,Fixed effect,Smoothed function,District,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
Geospatial analysis of dengue emergence in rural areas in the Southern Province of Sri Lanka,"Mutucumaranaa, C. P.",2020,Dengue,Dengue,Aedes,Sri Lanka,Southern,SEARO,Statistical,GAM,Fixed effect,Smoothed function,Individual,Coordinates,Coordinates,,"All regions are connected, more connected when closer",Distance,,Distance-based
"Identifying Spatiotemporal Clusters by Means of Agglomerative Hierarchical Clustering and Bayesian Regression Analysis with Spatiotemporally Varying Coefficients: Methodology and Application to Dengue Disease in Bandung, Indonesia","Jaya, I. G. M. N.",2020,Dengue,Dengue,Aedes,Indonesia,Bandung,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Influence of Socio-Economic, Demographic and Climate Factors on the Regional Distribution of Dengue in the United States and Mexico","Watts, M. ",2020,Dengue,Dengue,Aedes,USA and Mexico,,PAHO,Statistical,GAM,Fixed effect,Smoothed function,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Long-Term Epidemiological Dynamics of Japanese Encephalitis Infection in Gansu Province, China: A Spatial and Temporal Analysis","Wang, X.",2020,Japanese Encephalitis,Japanese Encephalitis,Culex,China,Gansu,WPRO,Statistical,GLM,Fixed effect,Covariate,District,Coordinates,Coordinates,,Not given,Not given,,Not given
Malaria Transmission and Spillover across the Peru–Ecuador Border: A Spatiotemporal Analysis,"Gunderson, A. K.",2020,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Ecuador and Peru,Amazon,PAHO,Statistical,GLMM,Mixed effect,Random effect and covariate,District,Adjacency and data,Mixed,Adjacency and data,Human movement,Human movement,,Human movement
Measuring the contribution of human mobility to malaria persistence,"Gomes, M. F. C.",2020,Malaria,Malaria,Anopheles,Brazil,Alto Juruá river basin,PAHO,Statistical,GLM,Fixed effect,Covariate,Cluster,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Migration rate estimation in an epidemic network,"Núñez-López, M.",2020,Dengue,Dengue,Aedes,Mexico,"Chiapas, Guerrero, Oaxaca, Veracruz ",PAHO,Mechanistic,Metapopulation,Compartmental,Coefficient,District,Adjacency,Adjacency,,Human movement,Human movement,,Human movement
Predicting dengue outbreaks at neighbourhood level using human mobility in urban areas,"Bomfin, R.",2020,Dengue,Dengue,Aedes,Brazil,Fortaleza,PAHO,Machine learning and mechanistic,Neural network and metapopulation,Machine learning and compartmental,Movement matrix,District,Mobility data,Mobility data,,Human movement,Human movement,,Human movement
Spatial and temporal patterns of dengue incidence in Bhutan: a Bayesian analysis,"Tsheten, T.",2020,Dengue,Dengue,Aedes,Bhutan,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatial and Temporal Patterns of Malaria in Phu Yen Province, Vietnam, from 2005 to 2016","Wangdi, K. ",2020,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Vietnam,Phu Yen,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatial modeling of Dengue prevalence and kriging prediction of Dengue outbreak in Khyber Pakhtunkhwa (Pakistan) using presence only data,"Ahmad, H.",2020,Dengue,Dengue,Aedes,Pakistan,Khyber Pakhtunkhwa,EMRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Spatial multi-layer perceptron model for predicting dengue fever outbreaks in surabaya,"Halim, S.",2020,Dengue,Dengue,Aedes,Indonesia,Surbaya,SEARO,Machine learning,Neural network,Machine learning,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
A spatio-temporal analysis to identify the drivers of malaria transmission in Bhutan,"Wangdi, K. ",2020,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,Bhutan,,SEARO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatio-temporal variation of malaria hotspots in Central Senegal, 2008–2012","Dieng, S.",2020,Malaria,Malaria,Anopheles,Senegal,Bambey and Fatick,AFRO,Statistical,GAMM,Mixed effect,Smoothed function,District,Coordinates,Coordinates,,Decays as distance increases,Distance,,Distance-based
"Spatiotemporal and Socioeconomic Risk Factors for Dengue at the Province Level in Vietnam, 2013–2015: Clustering Analysis and Regression Model","Ashmore, P.",2020,Dengue,Dengue,Aedes,Vietnam,,SEARO,Statistical,GLM,Fixed effect,Covariate,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
"Spatiotemporal distribution and socioeconomic disparities of dengue, chikungunya and Zika in two Latin American cities from 2007 to 2017","Carabali, M.",2020,"Dengue, chikungunya and Zika","Dengue, chikungunya and Zika",Aedes,Brazil and Colombia,Fortaleza and Medellin,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Spatiotemporal modeling of dengue fever risk in Puerto Rico,"Puggioni, G.",2020,Dengue,Dengue,Aedes,Puerto Rico,,PAHO,Statistical,GLMM,Mixed effect,Random effect,District,Adjacency,Adjacency,,Adjacent districts are connected,Neighbours connected,,Distance-based
Tracking progress towards malaria elimination in China: Individual-level estimates of transmission and its spatiotemporal variation using a diffusion network approach,"Routledge, I.",2020,Malaria (P. falciparum and P. vivax),Malaria,Anopheles,China,Yunnan,WPRO,Statistical,GLMM,Mixed effect,Random effect,Individual,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
Using the intrinsic growth rate of the mosquito population improves spatiotemporal dengue risk estimation,"Sedda, L.",2020,Dengue,Dengue,Aedes,Brazil,Caratinga,PAHO,Statistical,GLMM,Mixed effect,Random effect,Patch,Distance,Distance,,Decays as distance increases,Distance,,Distance-based
